TradeDateRaw,Hub,Product,StripRaw,DateHeader,SettlementPrice
6/26/2026,AB-NIT,NG Basis LD1 for NGX 7a Futures,7/1/2026,2026-07-01,-2.0025
6/26/2026,AB-NIT,NG Basis LD1 for NGX 7a Futures,8/1/2026,2026-08-01,-2.09
6/26/2026,AB-NIT,NG Basis LD1 for NGX 7a Futures,9/1/2026,2026-09-01,-2.025
6/26/2026,AB-NIT,NG Basis LD1 for NGX 7a Futures,10/1/2026,2026-10-01,-1.8325
6/26/2026,AB-NIT,NG Basis LD1 for NGX 7a Futures,11/1/2026,2026-11-01,-1.7375
6/26/2026,AB-NIT,NG Basis LD1 for NGX 7a Futures,12/1/2026,2026-12-01,-2.0025
6/26/2026,AB-NIT,NG Basis LD1 for NGX 7a Futures,1/1/2027,2027-01-01,-2.2875
6/26/2026,AB-NIT,NG Basis LD1 for NGX 7a Futures,2/1/2027,2027-02-01,-1.84
6/26/2026,AB-NIT,NG Basis LD1 for NGX 7a Futures,3/1/2027,2027-03-01,-1.345
6/26/2026,AB-NIT,NG Basis LD1 for NGX 7a Futures,4/1/2027,2027-04-01,-1.3725
6/26/2026,AB-NIT,NG Basis LD1 for NGX 7a Futures,5/1/2027,2027-05-01,-1.435
6/26/2026,AB-NIT,NG Basis LD1 for NGX 7a Futures,6/1/2027,2027-06-01,-1.6025
6/26/2026,AB-NIT,NG Basis LD1 for NGX 7a Futures,7/1/2027,2027-07-01,-1.8225
6/26/2026,AB-NIT,NG Basis LD1 for NGX 7a Futures,8/1/2027,2027-08-01,-1.8425
6/26/2026,AB-NIT,NG Basis LD1 for NGX 7a Futures,9/1/2027,2027-09-01,-1.8025
6/26/2026,AB-NIT,NG Basis LD1 for NGX 7a Futures,10/1/2027,2027-10-01,-1.705
6/26/2026,AB-NIT,NG Basis LD1 for NGX 7a Futures,11/1/2027,2027-11-01,-1.7025
6/26/2026,AB-NIT,NG Basis LD1 for NGX 7a Futures,12/1/2027,2027-12-01,-2.095
6/26/2026,AB-NIT,NG Basis LD1 for NGX 7a Futures,1/1/2028,2028-01-01,-2.445
6/26/2026,AB-NIT,NG Basis LD1 for NGX 7a Futures,2/1/2028,2028-02-01,-1.9875
6/26/2026,AB-NIT,NG Basis LD1 for NGX 7a Futures,3/1/2028,2028-03-01,-1.4275
6/26/2026,AB-NIT,NG Basis LD1 for NGX 7a Futures,4/1/2028,2028-04-01,-1.34
6/26/2026,AB-NIT,NG Basis LD1 for NGX 7a Futures,5/1/2028,2028-05-01,-1.44
6/26/2026,AB-NIT,NG Basis LD1 for NGX 7a Futures,6/1/2028,2028-06-01,-1.525
