DateHeader,Hub,SettlementPrice
2026-07-28,ANR-SE,2.5
2026-07-29,ANR-SE,2.405
2026-07-30,ANR-SE,2.4097
2026-07-31,ANR-SE,2.362
2026-07-28,ANR-SW,2.455
2026-07-29,ANR-SW,2.385
2026-07-30,ANR-SW,2.3626
2026-07-31,ANR-SW,2.3635
2026-07-28,Algonquin,2.315
2026-07-29,Algonquin,2.26
2026-07-30,Algonquin,2.15
2026-07-31,Algonquin,2.163
2026-07-28,CG-Mainline,2.395
2026-07-29,CG-Mainline,2.375
2026-07-30,CG-Mainline,2.2976
2026-07-31,CG-Mainline,2.32
2026-07-28,CG-Onshore,2.385
2026-07-29,CG-Onshore,2.43
2026-07-30,CG-Onshore,2.3927
2026-07-31,CG-Onshore,2.323
2026-07-28,CIG,2.48
2026-07-29,CIG,2.385
2026-07-30,CIG,2.4087
2026-07-31,CIG,2.3025
2026-07-28,Cheyenne Hub,2.455
2026-07-29,Cheyenne Hub,2.37
2026-07-30,Cheyenne Hub,2.3664
2026-07-31,Cheyenne Hub,2.3025
2026-07-28,Chicago,2.56
2026-07-29,Chicago,2.455
2026-07-30,Chicago,2.4577
2026-07-31,Chicago,2.432
2026-07-28,Consumers,2.575
2026-07-29,Consumers,2.445
2026-07-30,Consumers,2.4486
2026-07-31,Consumers,2.382
2026-07-28,EP West Texas,1.965
2026-07-29,EP West Texas,1.695
2026-07-30,EP West Texas,1.6664
2026-07-31,EP West Texas,1.973
2026-07-28,Eastern Gas-South,1.995
2026-07-29,Eastern Gas-South,1.94
2026-07-30,Eastern Gas-South,1.8481
2026-07-31,Eastern Gas-South,1.89
2026-07-28,Enable Gas,2.5
2026-07-29,Enable Gas,2.49
2026-07-30,Enable Gas,2.3946
2026-07-31,Enable Gas,2.38
2026-07-28,Enbridge-Dawn,2.57
2026-07-29,Enbridge-Dawn,2.445
2026-07-30,Enbridge-Dawn,2.48
2026-07-31,Enbridge-Dawn,2.475
2026-07-28,FGT-Z3,3.835
2026-07-29,FGT-Z3,3.61
2026-07-30,FGT-Z3,3.6834
2026-07-31,FGT-Z3,3.62
2026-07-28,HSC,2.48
2026-07-29,HSC,2.44
2026-07-30,HSC,2.3032
2026-07-31,HSC,2.35
2026-07-28,Henry,2.69
2026-07-29,Henry,2.58
2026-07-30,Henry,2.5542
2026-07-31,Henry,2.625
2026-07-28,Iroquois (into),2.54
2026-07-29,Iroquois (into),2.48
2026-07-30,Iroquois (into),2.4942
2026-07-31,Iroquois (into),2.288
2026-07-28,Iroquois-Z2,2.575
2026-07-29,Iroquois-Z2,2.545
2026-07-30,Iroquois-Z2,2.5331
2026-07-31,Iroquois-Z2,2.368
2026-07-28,Katy,2.47
2026-07-29,Katy,2.365
2026-07-30,Katy,2.3473
2026-07-31,Katy,2.387
2026-07-28,Kern Delivered,3.115
2026-07-29,Kern Delivered,2.76
2026-07-30,Kern Delivered,2.4016
2026-07-31,Kern Delivered,3.33
2026-07-28,Michcon,2.54
2026-07-29,Michcon,2.445
2026-07-30,Michcon,2.4379
2026-07-31,Michcon,2.375
2026-07-28,Millennium East Pool,2.0
2026-07-29,Millennium East Pool,1.96
2026-07-30,Millennium East Pool,1.8417
2026-07-31,Millennium East Pool,1.8385
2026-07-28,NGPL-Midcont Pool,2.455
2026-07-29,NGPL-Midcont Pool,2.405
2026-07-30,NGPL-Midcont Pool,2.3856
2026-07-31,NGPL-Midcont Pool,2.35
2026-07-28,NGPL-STX,2.425
2026-07-29,NGPL-STX,2.365
2026-07-30,NGPL-STX,2.3215
2026-07-31,NGPL-STX,2.173
2026-07-28,NGPL-TxOk,2.495
2026-07-29,NGPL-TxOk,2.425
2026-07-30,NGPL-TxOk,2.3723
2026-07-31,NGPL-TxOk,2.35
2026-07-28,NNG-Demarc,2.595
2026-07-29,NNG-Demarc,2.47
2026-07-30,NNG-Demarc,2.4196
2026-07-31,NNG-Demarc,2.48
2026-07-28,NNG-Ventura,2.585
2026-07-29,NNG-Ventura,2.47
2026-07-30,NNG-Ventura,2.4479
2026-07-31,NNG-Ventura,2.48
2026-07-28,NWP-Rockies,2.535
2026-07-29,NWP-Rockies,2.425
2026-07-30,NWP-Rockies,2.3868
2026-07-31,NWP-Rockies,2.426
2026-07-28,NWP-Sumas,2.395
2026-07-29,NWP-Sumas,2.445
2026-07-30,NWP-Sumas,2.3
2026-07-31,NWP-Sumas,2.3
2026-07-28,ONEOK,2.395
2026-07-29,ONEOK,2.335
2026-07-30,ONEOK,2.3018
2026-07-31,ONEOK,2.273
2026-07-28,PG&E-Citygate,3.26
2026-07-29,PG&E-Citygate,3.06
2026-07-30,PG&E-Citygate,3.1517
2026-07-31,PG&E-Citygate,3.003
2026-07-28,PGT-Malin,2.51
2026-07-29,PGT-Malin,2.425
2026-07-30,PGT-Malin,2.4611
2026-07-31,PGT-Malin,2.383
2026-07-28,Panhandle,2.465
2026-07-29,Panhandle,2.39
2026-07-30,Panhandle,2.3422
2026-07-31,Panhandle,2.35
2026-07-28,Permian (EP),1.965
2026-07-29,Permian (EP),1.7
2026-07-30,Permian (EP),1.6201
2026-07-31,Permian (EP),1.6485
2026-07-28,Pine Prairie,2.575
2026-07-29,Pine Prairie,2.475
2026-07-30,Pine Prairie,2.4595
2026-07-31,Pine Prairie,2.43
2026-07-28,REX-Z3,2.52
2026-07-29,REX-Z3,2.43
2026-07-30,REX-Z3,2.4
2026-07-31,REX-Z3,2.3535
2026-07-28,San Juan (EP),2.465
2026-07-29,San Juan (EP),2.4
2026-07-30,San Juan (EP),2.4186
2026-07-31,San Juan (EP),2.4
2026-07-28,Socal-Border,3.455
2026-07-29,Socal-Border,3.025
2026-07-30,Socal-Border,3.0618
2026-07-31,Socal-Border,3.46
2026-07-28,Socal-Citygate,4.225
2026-07-29,Socal-Citygate,3.9
2026-07-30,Socal-Citygate,3.8515
2026-07-31,Socal-Citygate,4.1
2026-07-28,Sonat-Z0,3.7
2026-07-29,Sonat-Z0,3.545
2026-07-30,Sonat-Z0,3.4958
2026-07-31,Sonat-Z0,3.45
2026-07-28,Southern Star,2.485
2026-07-29,Southern Star,2.45
2026-07-30,Southern Star,2.3982
2026-07-31,Southern Star,2.32
2026-07-28,TCO,2.145
